airbnb_id,beds,is_rebookable,is_business_travel_ready,is_family_preferred,is_superhost,picture_count,lat,lng,localized_city,localized_neighborhood,name,person_capacity,reviews_count,room_type,space_type,star_rating,can_instant_book,monthly_price_factor,rate_amount,rate_amount_formatted,rate_amount_micros,rate_currency,weekly_price_factor,state
16498330,3,0,0,0,0,6,30.31082088,-97.70358391,Austin,,#1-RELAXED HOME  CENTRAL AUSTIN,1,15,Shared room,Shared room,5,0,1,36,$36 ,,USD,0.9,TX
16514977,1,0,0,0,1,16,30.22856399,-97.71994603,Austin,Pleasant Valley,Cozy East/Central located apt.,5,29,Entire home/apt,Entire apartment,5,1,1,120,$120 ,,USD,1,TX
16515522,5,0,0,0,0,1,30.2568577,-97.67159008,Austin,MLK & 183,Riverfront 5/3 close to downtown,13,0,Entire home/apt,Entire house,,0,1,1000,"$1,000 ",,USD,1,TX
16516193,1,0,0,0,0,7,30.28445997,-97.74717274,Austin,West Campus,"Luxury, private room with bath in downtown Austin",2,16,Private room,Private room,5,1,0.75,68,$68 ,,USD,0.9,TX
16517121,1,0,0,0,0,4,30.26792838,-97.71529878,Austin,,Private room in the heart of East Austin!,1,3,Private room,Private room,4.5,0,0.65,40,$40 ,,USD,0.85,TX
16518202,1,0,0,0,0,7,30.42763598,-97.71041329,Austin,,Relocating to Austin for a High-Tech job?,1,3,Private room,Private room,5,0,1,30,$30 ,,USD,1,TX
16521885,4,0,0,0,0,2,30.21757104,-97.80166254,Austin,,Classic South Austin,8,1,Entire home/apt,Entire house,,0,1,300,$300 ,,USD,1,TX
16528648,2,0,0,0,0,13,30.26966066,-97.75032589,Austin,Downtown,West 5th Two Bedroom Two Bath w/ Parking Structure,8,0,Entire home/apt,Entire apartment,,0,0.8,400,$400 ,,USD,0.9,TX
16534724,2,0,1,0,1,29,30.2556969,-97.72864707,Austin,East Downtown,Honey Cloud Studio Casita on East Side,4,44,Entire home/apt,Entire guesthouse,5,0,0.58,125,$125 ,,USD,0.79,TX
16543623,1,0,0,0,1,21,30.18755955,-97.83544949,Austin,Cherry Creek,Comfy Guest Room - Harmony Place in South Austin,2,22,Private room,Private room,5,0,0.75,46,$46 ,,USD,0.9,TX
16544791,1,0,0,0,0,14,30.31529318,-97.69729754,Austin,Windsor Park,The Studio on Briarcliff,2,42,Entire home/apt,Entire apartment,4.5,1,0.7,65,$65 ,,USD,0.9,TX
16545023,1,0,0,0,0,15,30.27836995,-97.70849615,Austin,,Jetsons ModPod! w/Private Bth+  Sauna Access,2,14,Private room,Private room,5,1,1,85,$85 ,,USD,1,TX
16545226,1,0,0,0,1,6,30.23195981,-97.76663595,Austin,,"Private, Spacious Room w Bathroom in South Central",2,55,Private room,Private room,5,1,0.8,38,$38 ,,USD,0.9,TX
16545961,2,0,1,0,0,19,30.3331949,-97.74710185,Austin,Allendale,ACL! Close-in Allandale Eco Oasis Free Breakfast,4,5,Entire home/apt,Entire apartment,5,0,0.7,112,$112 ,,USD,0.85,TX
16547602,2,0,0,0,1,12,30.17634857,-97.68895967,Austin,McKinney,9-10 mi to DT/Rainey/10 mins to airport,2,11,Private room,Private room,5,0,0.69,125,$125 ,,USD,0.87,TX
