,airbnb_id,amount_formatted,beds,can_instant_book,currency,is_business,is_rebookable,is_superhost,lat,lng,localized_city,localized_neighborhood,monthly_price_factor,name,person_capacity,picture_count,rate_amount,reviews_count,room_type,space_type,star_rating,weekly_price_factor
796,28252409.0,$200,6.0,1.0,USD,0.0,0.0,0.0,35.10633627264584,-106.67242757403555,Albuquerque,,1.0,Route 66 Rose House,11.0,14.0,200.0,0.0,Entire home/apt,Entire house,,1.0
797,22766265.0,$75,2.0,0.0,USD,0.0,0.0,0.0,35.134329094581105,-106.65292112124264,Albuquerque,,1.0,Stylish Adobe in Albuquerque North Valley,3.0,13.0,75.0,2.0,Entire home/apt,Entire bungalow,,1.0
798,20981711.0,$47,1.0,1.0,USD,0.0,0.0,1.0,35.12644482186627,-106.52293461663773,Albuquerque,,0.98,GUEST HOME OF HESTER,4.0,13.0,47.0,44.0,Entire home/apt,Entire guesthouse,5.0,0.98
799,28331971.0,$60,2.0,1.0,USD,0.0,0.0,0.0,35.120165312729064,-106.53614644306873,Albuquerque,,0.7,Elegant & quiet space to relax & enjoy the scenery,2.0,20.0,60.0,1.0,Private room,Private room,,0.85
800,28742222.0,$30,2.0,1.0,USD,0.0,0.0,0.0,35.16938200930057,-106.54309915726307,Albuquerque,,1.0,Cozy NE Home,4.0,6.0,30.0,4.0,Private room,Private room,5.0,1.0
801,27432936.0,$39,2.0,1.0,USD,0.0,0.0,0.0,35.07903687250046,-106.61684202420717,Albuquerque,,1.0,Bella Casa,4.0,22.0,39.0,13.0,Entire home/apt,Entire house,5.0,0.89
802,29007707.0,$115,4.0,1.0,USD,0.0,0.0,0.0,35.12295737848789,-106.66068818880814,Albuquerque,,1.0,Modern Style Luxurious Home,6.0,23.0,115.0,1.0,Entire home/apt,Entire house,,1.0
803,28519893.0,$179,5.0,1.0,USD,0.0,0.0,0.0,35.11813085696687,-106.66188964589755,Albuquerque,,1.0,Casa Z North Valley Retreat,8.0,25.0,179.0,0.0,Entire home/apt,Entire house,,1.0
804,27963475.0,$45,1.0,0.0,USD,0.0,0.0,0.0,35.25064065436405,-106.61357509569834,Corrales,,1.0,A Quiet Space in Corrales: The Blue Room,2.0,33.0,45.0,2.0,Private room,Private room,,1.0
805,25083326.0,$229,3.0,1.0,USD,0.0,0.0,0.0,35.29126935685652,-106.58898709959917,Rio Rancho,,0.5,River Retreat near Balloon Fiesta Park!,5.0,28.0,229.0,2.0,Entire home/apt,Entire house,,0.75
806,13846915.0,$15,1.0,0.0,USD,0.0,0.0,1.0,35.12858930125157,-106.64034101170934,Albuquerque,,1.0,Camp at a City Farm,2.0,8.0,15.0,64.0,Private room,Private room,5.0,1.0
807,24180975.0,$39,1.0,1.0,USD,0.0,0.0,0.0,35.14692232157774,-106.57567941918441,Albuquerque,,0.55,A quant little room with everything youll need!,1.0,3.0,39.0,5.0,Private room,Private room,4.0,0.8
808,254336.0,$45,1.0,1.0,USD,0.0,0.0,1.0,35.090459412137754,-106.59878830243284,Albuquerque,,0.5,Guest room with bath suitable for long stay,2.0,20.0,45.0,38.0,Private room,Private room,5.0,0.7
809,4409575.0,$195,3.0,0.0,USD,0.0,0.0,0.0,35.11962863401128,-106.56118170683887,Albuquerque,,0.49,NEAR ABQ UPTOWN,4.0,3.0,195.0,0.0,Entire home/apt,Entire townhouse,,0.88
810,22131472.0,$58,1.0,0.0,USD,0.0,0.0,0.0,35.090805520548464,-106.65837649348883,Albuquerque,,0.8,Treetop Bungalow Apartment,2.0,9.0,58.0,17.0,Entire home/apt,Entire apartment,5.0,0.9
811,29015285.0,$100,2.0,1.0,USD,0.0,0.0,0.0,35.188543703446,-106.49399736859148,Albuquerque,,0.8,Foothills Getaway!,4.0,8.0,100.0,2.0,Entire home/apt,Entire townhouse,,0.85
812,29013127.0,$25,1.0,0.0,USD,0.0,0.0,0.0,35.07980186581416,-106.49315831451692,Albuquerque,,1.0,Three Bedroom Home w Private Room #2,2.0,1.0,25.0,1.0,Private room,Private room,,0.88
813,23826213.0,$60,2.0,0.0,USD,0.0,0.0,1.0,35.089469649932624,-106.64254526263173,Albuquerque,,1.0,Spacious Home DOWNTOWN ABQ 2 bedrooms,4.0,25.0,60.0,20.0,Private room,Private room,5.0,0.87
814,28181447.0,$185,3.0,1.0,USD,0.0,0.0,0.0,35.13792843939724,-106.52219529950797,Albuquerque,,1.0,Oso Grande Northeast Heights Haven,6.0,14.0,185.0,0.0,Entire home/apt,Entire house,,0.85
815,21674478.0,$40,1.0,0.0,USD,0.0,0.0,0.0,35.09035140702158,-106.57196342281414,Albuquerque,,1.0,Private room in northeast Albuquerque,2.0,4.0,40.0,2.0,Private room,Private room,,1.0
816,21409214.0,$45,1.0,1.0,USD,0.0,0.0,0.0,35.14036011101673,-106.51693278883795,Albuquerque,,0.6,Enchanted Nest,1.0,15.0,45.0,4.0,Private room,Private room,4.5,0.79
817,27224178.0,$55,1.0,1.0,USD,0.0,0.0,1.0,35.07925,-106.615395,Albuquerque,,1.0,The Annex @ Princeton House,2.0,46.0,55.0,6.0,Entire home/apt,Entire apartment,5.0,1.0
818,19988018.0,$56,1.0,1.0,USD,0.0,0.0,0.0,35.09779,-106.603905,Albuquerque,,0.85,The Roxbury Garden 04A,2.0,12.0,56.0,6.0,Entire home/apt,Entire apartment,4.5,0.9
819,27836718.0,$75,1.0,1.0,USD,0.0,0.0,0.0,35.13776850514675,-106.67367739094267,Albuquerque,,1.0,North Valley Hideaway,2.0,6.0,75.0,0.0,Private room,Private room,,1.0
820,18008309.0,$42,1.0,1.0,USD,0.0,0.0,1.0,35.07870689296651,-106.56560909416699,Albuquerque,,1.0,CHEAP and Cheerful,2.0,17.0,42.0,49.0,Private room,Private room,5.0,1.0
821,11793902.0,$79,1.0,1.0,USD,0.0,0.0,1.0,35.0960197231861,-106.66263611344986,Albuquerque,,0.7,Treehouse Hideaway in Old Town,2.0,7.0,79.0,144.0,Entire home/apt,Entire house,5.0,0.85
822,26745264.0,$90,3.0,1.0,USD,0.0,0.0,0.0,35.11288786484052,-106.68432663426795,Albuquerque,,1.0,Sol y Sombra,6.0,20.0,90.0,10.0,Entire home/apt,Entire house,5.0,1.0
823,22731236.0,$25,1.0,0.0,USD,0.0,0.0,0.0,35.24465126376407,-106.6711910285131,Rio Rancho,,0.8,Esplanade,1.0,6.0,25.0,1.0,Private room,Private room,,1.0
824,28981273.0,$275,2.0,1.0,USD,0.0,0.0,0.0,35.07900920573472,-106.51042747493311,Albuquerque,,1.0,Albuquerque Heights/Foothills,4.0,7.0,275.0,0.0,Entire home/apt,Entire house,,1.0
825,18638002.0,$65,2.0,0.0,USD,0.0,0.0,0.0,35.0702027770123,-106.5907128058187,Albuquerque,,1.0,Quiet Spacious In Law Apartment Separate Entrance,2.0,9.0,65.0,8.0,Entire home/apt,Entire guest suite,5.0,0.85
826,15818991.0,$150,2.0,0.0,USD,0.0,0.0,0.0,35.21053813915109,-106.62853801844395,Corrales,,0.7,Gorgeous BALLOON FIESTA Estate on Rio Grande River,4.0,31.0,150.0,5.0,Private room,Private room,5.0,0.95
827,28691364.0,$100,2.0,1.0,USD,0.0,0.0,0.0,35.173581461184924,-106.6463123005231,Los Ranchos de Albuquerque,,1.0,Spacious 2 bedrooms in the heart of Los Ranchos,6.0,28.0,100.0,0.0,Entire home/apt,Entire house,,1.0
828,26476403.0,$40,1.0,1.0,USD,0.0,0.0,1.0,35.104778208900576,-106.5792614334534,Albuquerque,,0.75,Ideally Located Private Casita,3.0,18.0,40.0,27.0,Entire home/apt,Entire guesthouse,5.0,0.9
829,9633880.0,$100,1.0,0.0,USD,0.0,0.0,0.0,35.104106690458266,-106.66987389922375,Albuquerque,,1.0,Nice Cozy Loft. near lots of ABQ's Attractions!!!,2.0,5.0,100.0,2.0,Private room,Private room,,1.0
830,27011996.0,$55,15.0,1.0,USD,0.0,0.0,0.0,35.106653199064425,-106.60881258519713,Albuquerque,,1.0,Suburban Extended Stay NE,2.0,4.0,55.0,1.0,Private room,Hotel room,,1.0
